Fecha,México,Susana_00,Susana_20,Susana_50
2020-02-28,1,0,0,0
2020-02-29,4,0,0,0
2020-03-01,5,0,0,0
2020-03-02,5,0,0,0
2020-03-03,5,0,0,0
2020-03-04,5,0,0,0
2020-03-05,5,0,0,0
2020-03-06,6,0,0,0
2020-03-07,7,0,0,0
2020-03-08,7,0,0,0
2020-03-09,7,0,0,0
2020-03-10,7,0,0,0
2020-03-11,11,0,0,0
2020-03-12,16,0,0,0
2020-03-13,30,0,0,0
2020-03-14,44,0,0,0
2020-03-15,55,0,0,0
2020-03-16,75,0,0,0
2020-03-17,101,0,0,0
2020-03-18,118,0,0,0
2020-03-19,177,177,177,177
2020-03-20,203,193,193,193
2020-03-21,251,211,211,211
2020-03-22,316,248,248,248
2020-03-23,356,303,303,303
2020-03-24,405,374,374,374
2020-03-25,475,466,466,466
2020-03-26,585,585,585,585
2020-03-27,717,739,739,739
2020-03-28,0,939,923,904
2020-03-29,0,1198,1140,1074
2020-03-30,0,1534,1398,1248
2020-03-31,0,1969,1705,1425
2020-04-01,0,2534,2071,1607
2020-04-02,0,3266,2506,1795
2020-04-03,0,4215,3025,1987
